date,customer_id,product_id,product_name,category,region,channel,units_sold,unit_price,discount,cost,customer_age,customer_tenure_months,num_complaints,last_purchase_days_ago,churned,stock_on_hand,reorder_point,sales_amount,profit
2021-01-23,1258,2034,Bread,Sports,East,Wholesale,7,345.17,0.3,197.87,67,44,2,40,0,371,59,1691.33,306.24
2021-01-24,1344,2030,Phone,Sports,South,Retail,15,140.03,0.24,33.0,32,32,1,62,0,385,98,1596.34,1101.34
2021-01-25,1492,2013,Chair,Electronics,South,Retail,24,347.1,0.05,99.06,54,51,2,238,0,67,93,7913.88,5536.44
2021-01-26,1414,2013,Shirt,Clothing,Central,Retail,49,398.3,0.0,297.88,39,3,0,245,0,445,52,19516.7,4920.58
2021-01-27,1294,2018,Shoe,Furniture,East,Retail,13,160.33,0.01,205.14,62,70,3,18,0,79,92,2063.45,-603.37
2021-01-28,1386,2032,Bread,Electronics,Central,Wholesale,9,27.66,0.07,220.37,67,32,2,140,1,232,71,231.51,-1751.82
2021-01-29,1192,2096,Laptop,Clothing,West,Wholesale,15,467.06,0.03,67.81,48,2,1,82,1,185,52,6795.72,5778.57
2021-01-30,1444,2099,Laptop,Clothing,South,Retail,35,179.14,0.16,28.24,19,59,3,189,0,104,92,5266.72,4278.32
2021-01-31,1277,2039,Desk,Food,Central,Retail,24,62.18,0.26,86.69,62,14,1,108,1,468,97,1104.32,-976.24
2021-02-01,1161,2046,Shirt,Food,South,Wholesale,33,251.01,0.22,78.43,48,51,3,234,0,324,56,6461.0,3872.81
2021-02-02,1460,2029,Rice,Electronics,East,Online,16,386.55,0.06,74.19,31,11,2,268,0,441,89,5813.71,4626.67
2021-02-03,1314,2062,TV,Food,North,Online,8,118.61,0.12,61.86,27,10,0,104,0,418,88,835.01,340.13
2021-02-04,1022,2093,Phone,Clothing,Central,Online,29,142.05,0.15,174.55,47,58,3,134,0,141,23,3501.53,-1560.42
2021-02-05,1253,2062,Rice,Food,Central,Wholesale,23,128.93,0.24,101.79,53,34,4,344,0,398,79,2253.7,-87.47
2021-02-06,1236,2057,Desk,Sports,South,Wholesale,45,495.92,0.25,247.0,64,53,1,33,0,389,99,16737.3,5622.3
2021-02-07,1345,2016,Phone,Food,East,Online,31,106.73,0.27,59.26,57,28,3,237,0,271,93,2415.3,578.24
2021-02-08,1049,2056,Shirt,Clothing,West,Online,40,292.0,0.15,142.06,32,18,1,336,0,342,50,9928.0,4245.6
2021-02-09,1475,2010,Desk,Electronics,East,Retail,49,463.38,0.21,9.03,31,26,0,178,0,123,33,17937.44,17494.97
2021-02-10,1059,2030,Phone,Furniture,Central,Wholesale,14,81.98,0.03,147.1,48,7,1,12,0,222,96,1113.29,-946.11
2021-02-11,1170,2025,Shirt,Food,West,Wholesale,30,485.72,0.17,21.47,46,45,1,351,0,489,79,12094.43,11450.33
2021-02-12,1476,2084,Dumbbell,Clothing,East,Online,39,474.26,0.07,293.43,44,45,4,229,1,173,87,17201.41,5757.64
2021-02-13,1188,2005,Rice,Furniture,North,Online,27,443.44,0.13,238.22,38,71,1,309,1,190,45,10416.41,3984.47
2021-02-14,1464,2065,Rice,Furniture,South,Wholesale,47,115.13,0.19,149.58,26,35,3,269,1,139,43,4383.0,-2647.26
2021-02-15,1271,2094,TV,Sports,East,Retail,16,320.69,0.08,30.54,37,52,1,358,0,296,75,4720.56,4231.92
2021-02-16,1190,2049,Shirt,Furniture,East,Online,6,382.84,0.02,179.77,52,21,2,131,0,118,28,2251.1,1172.48
2021-02-17,1446,2003,Bread,Clothing,North,Wholesale,33,493.15,0.0,228.84,32,28,1,249,0,274,54,16273.95,8722.23
2021-02-18,1175,2045,Dumbbell,Clothing,Central,Wholesale,44,98.41,0.01,61.26,41,44,2,58,0,75,98,4286.74,1591.3
2021-02-19,1446,2014,Chair,Food,South,Retail,18,385.35,0.0,172.62,66,56,1,4,0,108,43,6936.3,3829.14
2021-02-20,1051,2030,Phone,Food,East,Retail,16,176.01,0.03,245.19,33,10,1,236,1,118,50,2731.68,-1191.36
2021-02-21,1364,2068,Dumbbell,Food,West,Online,12,96.06,0.07,231.63,53,23,3,173,0,460,85,1072.03,-1707.53
2021-02-22,1055,2018,Shirt,Furniture,East,Online,20,216.47,0.07,241.88,28,48,2,322,0,368,85,4026.34,-811.26
2021-02-23,1244,2062,Shoe,Furniture,South,Online,45,398.98,0.3,264.4,25,52,2,36,1,257,60,12567.87,669.87
2021-02-24,1320,2037,Phone,Sports,East,Wholesale,40,237.78,0.09,281.62,20,15,4,279,1,19,55,8655.19,-2609.61
2021-02-25,1131,2025,Laptop,Food,North,Online,29,273.39,0.04,124.63,36,55,1,237,0,118,53,7611.18,3996.91
2021-02-26,1485,2048,Rice,Electronics,East,Wholesale,30,497.63,0.16,172.79,63,43,1,275,0,350,58,12540.28,7356.58
2021-02-27,1307,2065,Shirt,Sports,East,Online,26,205.56,0.26,238.24,58,50,3,296,0,136,42,3954.97,-2239.27
2021-02-28,1135,2053,Laptop,Electronics,West,Retail,22,311.55,0.2,210.66,20,6,4,328,0,276,99,5483.28,848.76
2021-03-01,1021,2079,TV,Furniture,North,Retail,33,188.97,0.09,298.68,53,33,4,58,0,254,63,5674.77,-4181.67
2021-03-02,1329,2073,Desk,Sports,North,Wholesale,39,202.46,0.17,9.03,42,62,3,363,0,263,89,6553.63,6201.46
2021-03-03,1167,2015,Chair,Sports,East,Retail,47,350.86,0.21,109.76,53,55,2,18,0,166,77,13027.43,7868.71
2021-03-04,1274,2049,Chair,Clothing,West,Wholesale,29,469.56,0.22,87.9,28,39,0,36,0,164,78,10621.45,8072.35
2021-03-05,1388,2088,Laptop,Furniture,East,Wholesale,22,275.76,0.2,82.38,68,12,3,129,0,28,45,4853.38,3041.02
2021-03-06,1089,2068,Rice,Furniture,East,Retail,45,386.52,0.26,70.65,33,31,2,1,1,466,41,12871.12,9691.87
2021-03-07,1316,2012,TV,Sports,South,Wholesale,13,53.71,0.26,214.19,34,53,4,64,0,34,59,516.69,-2267.78
2021-03-08,1014,2059,Shoe,Furniture,South,Retail,9,113.47,0.17,30.0,59,34,3,62,0,236,30,847.62,577.62
2021-03-09,1242,2037,Rice,Sports,West,Online,24,256.04,0.13,223.77,41,41,0,331,0,293,28,5346.12,-24.36
2021-03-10,1265,2061,Dumbbell,Clothing,Central,Online,15,19.81,0.19,209.56,34,10,1,146,0,89,31,240.69,-2902.71
2021-03-11,1346,2043,Chair,Sports,South,Retail,36,133.9,0.25,78.99,65,52,3,272,0,202,45,3615.3,771.66
2021-03-12,1053,2070,Dumbbell,Furniture,Central,Retail,13,263.53,0.0,79.59,37,57,0,17,0,227,57,3425.89,2391.22
2021-03-13,1386,2039,Phone,Furniture,North,Retail,27,17.33,0.3,190.51,39,3,0,280,0,418,22,327.54,-4816.23
2021-03-14,1340,2056,Bread,Sports,South,Retail,44,139.63,0.05,229.84,23,57,3,98,1,67,34,5836.53,-4276.43
2021-03-15,1092,2063,Shirt,Sports,South,Online,37,261.88,0.14,263.56,24,33,2,227,0,130,66,8333.02,-1418.7
2021-03-16,1367,2046,TV,Sports,West,Wholesale,7,290.84,0.26,256.38,31,7,3,243,1,364,24,1506.55,-288.11
2021-03-17,1444,2088,Rice,Food,Central,Wholesale,8,463.62,0.07,289.64,28,4,4,201,0,110,73,3449.33,1132.21
2021-03-18,1455,2011,Chair,Furniture,South,Online,37,326.22,0.14,176.51,29,39,0,179,0,11,43,10380.32,3849.45
2021-03-19,1428,2062,Dumbbell,Furniture,South,Wholesale,41,213.22,0.04,273.05,63,48,0,270,0,287,30,8392.34,-2802.71
2021-03-20,1264,2077,Desk,Food,West,Online,14,465.87,0.12,243.51,22,16,1,234,0,174,52,5739.52,2330.38
2021-03-21,1431,2098,Phone,Sports,West,Wholesale,12,394.59,0.05,268.93,22,38,0,112,0,318,93,4498.33,1271.17
2021-03-22,1035,2025,Shirt,Clothing,Central,Retail,36,108.0,0.11,8.43,37,4,1,66,0,153,76,3460.32,3156.84
2021-03-23,1206,2071,Shirt,Sports,North,Retail,40,74.11,0.11,289.94,32,4,0,338,0,42,71,2638.32,-8959.28
2021-03-24,1081,2052,Rice,Sports,North,Retail,17,341.15,0.3,144.69,43,27,0,349,0,362,83,4059.68,1599.95
2021-03-25,1420,2004,TV,Food,East,Online,40,284.34,0.3,240.46,50,17,3,245,0,204,62,7961.52,-1656.88
2021-03-26,1050,2059,Shoe,Furniture,South,Online,29,396.94,0.03,42.53,47,70,3,245,0,171,63,11165.92,9932.55
2021-03-27,1360,2072,Desk,Sports,Central,Wholesale,27,372.01,0.22,121.8,41,54,4,72,0,293,55,7834.53,4545.93
2021-03-28,1388,2020,Rice,Furniture,South,Wholesale,1,316.35,0.02,85.08,40,8,2,357,1,284,31,310.02,224.94
2021-03-29,1002,2093,Dumbbell,Electronics,Central,Wholesale,34,493.33,0.01,91.04,26,53,4,49,1,310,75,16605.49,13510.13
2021-03-30,1390,2063,Bread,Furniture,Central,Online,4,271.46,0.03,41.36,20,5,0,346,0,51,22,1053.26,887.82
2021-03-31,1054,2054,Laptop,Clothing,Central,Wholesale,24,65.42,0.29,242.7,53,69,4,190,0,114,69,1114.76,-4710.04
2021-04-01,1106,2074,Shoe,Clothing,South,Retail,21,415.85,0.28,7.73,65,47,3,293,0,18,48,6287.65,6125.32
2021-04-02,1260,2098,TV,Sports,West,Wholesale,33,133.41,0.06,97.19,24,40,0,177,1,34,96,4138.38,931.11
2021-04-03,1310,2057,Phone,Furniture,South,Retail,7,390.88,0.05,56.45,39,7,0,161,0,47,35,2599.35,2204.2
2021-04-04,1477,2090,Shoe,Sports,Central,Online,1,478.98,0.07,178.77,31,12,4,150,0,232,59,445.45,266.68
2021-04-05,1191,2041,Chair,Food,East,Retail,41,351.43,0.15,80.0,65,25,1,70,0,218,46,12247.34,8967.34
2021-04-06,1402,2003,TV,Clothing,North,Retail,3,302.05,0.17,81.4,46,28,2,33,0,109,89,752.1,507.9
2021-04-07,1218,2006,Bread,Sports,Central,Retail,44,235.59,0.07,149.06,67,43,4,284,0,253,61,9640.34,3081.7
2021-04-08,1044,2005,Chair,Food,East,Online,15,188.56,0.23,197.54,33,47,4,344,1,187,76,2177.87,-785.23
2021-04-09,1162,2005,Shoe,Sports,West,Online,31,182.97,0.09,40.78,65,49,2,260,0,30,29,5161.58,3897.4
2021-04-10,1202,2054,Laptop,Furniture,Central,Online,16,321.82,0.28,56.78,51,54,0,322,1,258,57,3707.37,2798.89
2021-04-11,1446,2047,Laptop,Furniture,East,Online,10,378.12,0.2,77.92,27,18,0,77,0,162,27,3024.96,2245.76
2021-04-12,1484,2087,Bread,Furniture,Central,Wholesale,29,342.47,0.13,292.26,24,27,1,110,1,343,37,8640.52,164.98
2021-04-13,1270,2049,Shirt,Furniture,South,Online,6,107.22,0.24,122.16,42,6,4,305,1,307,36,488.92,-244.04
2021-04-14,1351,2009,Desk,Electronics,East,Retail,29,252.05,0.25,181.7,44,69,2,139,0,70,77,5482.09,212.79
2021-04-15,1304,2099,Phone,Food,South,Online,17,397.9,0.09,76.26,32,71,4,35,0,306,85,6155.51,4859.09
2021-04-16,1271,2020,Shirt,Food,South,Wholesale,22,243.09,0.1,149.69,49,22,3,235,0,55,63,4813.18,1520.0
2021-04-17,1456,2061,Laptop,Furniture,East,Wholesale,24,272.95,0.28,26.87,45,59,4,330,0,98,93,4716.58,4071.7
2021-04-18,1462,2035,Laptop,Electronics,North,Wholesale,17,387.86,0.05,15.25,26,47,4,200,0,20,28,6263.94,6004.69
2021-04-19,1215,2050,Dumbbell,Furniture,East,Retail,21,334.02,0.01,143.28,24,68,3,325,0,384,67,6944.28,3935.4
2021-04-20,1252,2082,Chair,Electronics,North,Online,11,210.58,0.14,122.6,33,32,3,151,0,107,58,1992.09,643.49
2021-04-21,1190,2062,Shoe,Furniture,Central,Online,7,448.75,0.24,45.38,43,1,2,34,0,52,25,2387.35,2069.69
2021-04-22,1296,2017,Phone,Clothing,Central,Online,42,89.66,0.23,207.84,52,54,0,124,1,5,49,2899.6,-5829.68
2021-04-23,1213,2088,Bread,Clothing,East,Retail,39,497.8,0.28,297.91,34,46,1,32,0,230,93,13978.22,2359.73
2021-04-24,1208,2003,Shoe,Sports,Central,Retail,5,68.24,0.16,121.72,40,41,3,272,0,481,37,286.61,-321.99
2021-04-25,1237,2032,Dumbbell,Furniture,West,Wholesale,44,17.33,0.03,189.24,25,41,0,324,0,81,62,739.64,-7586.92
2021-04-26,1338,2099,Laptop,Food,South,Wholesale,48,446.11,0.18,289.08,19,8,2,310,0,445,52,17558.89,3683.05
2021-04-27,1367,2013,Bread,Sports,South,Online,21,130.03,0.23,250.3,48,32,4,124,0,216,72,2102.59,-3153.71
2021-04-28,1053,2089,Laptop,Clothing,North,Retail,18,367.55,0.03,141.75,69,30,2,316,0,334,75,6417.42,3865.92
2021-04-29,1280,2073,Phone,Furniture,Central,Retail,35,407.4,0.05,222.56,49,46,2,78,1,46,38,13546.05,5756.45
2021-04-30,1410,2068,Chair,Sports,North,Online,20,430.9,0.0,42.8,46,52,3,76,0,351,88,8618.0,7762.0
2021-05-01,1217,2014,Shoe,Furniture,South,Online,15,495.88,0.18,156.07,20,61,1,60,0,361,45,6099.32,3758.27
2021-05-02,1252,2098,Shoe,Clothing,South,Wholesale,5,154.08,0.27,87.32,25,13,3,85,1,240,48,562.39,125.79
2021-05-03,1188,2011,Shirt,Sports,Central,Wholesale,13,358.02,0.2,52.54,19,40,4,80,0,177,43,3723.41,3040.39
2021-05-04,1380,2056,Bread,Clothing,West,Wholesale,12,66.55,0.29,130.75,48,61,3,172,0,81,25,567.01,-1001.99
2021-05-05,1493,2067,Desk,Electronics,West,Online,21,209.34,0.02,43.65,68,44,4,258,0,286,73,4308.22,3391.57
2021-05-06,1041,2092,Dumbbell,Clothing,Central,Online,37,425.51,0.27,211.2,66,62,3,279,0,191,58,11493.03,3678.63
2021-05-07,1157,2029,Desk,Furniture,Central,Wholesale,6,190.15,0.24,139.59,54,44,1,221,1,412,23,867.08,29.54
2021-05-08,1015,2009,Shirt,Food,North,Wholesale,7,299.64,0.09,161.69,37,48,0,46,1,142,77,1908.71,776.88
2021-05-09,1301,2067,Phone,Clothing,Central,Retail,26,256.85,0.29,48.18,46,59,1,73,0,313,67,4741.45,3488.77
2021-05-10,1065,2025,Dumbbell,Food,West,Retail,42,326.52,0.09,46.23,34,57,3,54,0,278,79,12479.59,10537.93
2021-05-11,1345,2098,Chair,Electronics,Central,Wholesale,48,486.72,0.27,177.11,27,11,2,327,1,421,45,17054.67,8553.39
2021-05-12,1327,2076,Desk,Sports,North,Wholesale,8,37.31,0.26,295.58,58,25,0,221,0,40,98,220.88,-2143.76
2021-05-13,1009,2042,Chair,Sports,North,Retail,9,291.24,0.23,33.39,39,61,2,337,0,458,96,2018.29,1717.78
2021-05-14,1344,2009,Desk,Food,North,Wholesale,27,432.88,0.17,89.29,23,46,1,9,0,270,59,9700.84,7290.01
2021-05-15,1129,2079,Chair,Sports,North,Retail,4,245.88,0.04,261.49,60,54,0,326,0,86,96,944.18,-101.78
2021-05-16,1492,2040,Desk,Clothing,East,Retail,21,48.48,0.16,26.32,51,34,3,172,0,2,75,855.19,302.47
2021-05-17,1136,2025,Chair,Food,Central,Retail,31,284.66,0.11,263.39,48,7,2,84,1,210,58,7853.77,-311.32
2021-05-18,1472,2005,Shirt,Furniture,South,Online,21,172.72,0.24,159.66,29,62,3,330,0,0,58,2756.61,-596.25
2021-05-19,1063,2011,TV,Clothing,Central,Online,40,85.92,0.23,125.44,29,57,4,329,0,471,67,2646.34,-2371.26
2021-05-20,1139,2059,Dumbbell,Clothing,East,Wholesale,25,426.03,0.27,96.36,33,5,0,12,0,496,44,7775.05,5366.05
2021-05-21,1499,2098,Bread,Clothing,North,Retail,39,265.58,0.0,92.65,42,35,2,32,1,74,53,10357.62,6744.27
2021-05-22,1081,2088,Phone,Furniture,East,Online,15,467.31,0.24,95.21,39,37,1,339,0,477,40,5327.33,3899.18
2021-05-23,1392,2079,Rice,Electronics,West,Wholesale,35,404.95,0.28,266.02,44,60,1,289,0,497,44,10204.74,894.04
2021-05-24,1163,2038,Laptop,Sports,West,Wholesale,49,349.56,0.24,218.52,41,65,1,320,1,394,41,13017.61,2310.13
2021-05-25,1419,2072,Bread,Food,Central,Wholesale,43,12.46,0.04,202.57,29,16,1,304,0,443,42,514.35,-8196.16
2021-05-26,1289,2005,Laptop,Electronics,Central,Wholesale,41,219.63,0.02,240.63,35,30,2,272,0,230,44,8824.73,-1041.1
2021-05-27,1379,2048,Dumbbell,Food,South,Wholesale,37,106.77,0.01,80.85,62,42,4,178,0,448,97,3910.99,919.54
2021-05-28,1261,2090,Bread,Sports,South,Retail,42,456.29,0.19,187.32,64,61,1,114,0,75,97,15522.99,7655.55
2021-05-29,1490,2018,Chair,Furniture,West,Wholesale,47,95.55,0.19,140.72,33,48,1,26,1,259,45,3637.59,-2976.25
2021-05-30,1231,2070,Chair,Clothing,North,Retail,28,150.17,0.3,235.82,21,62,1,237,0,24,49,2943.33,-3659.63
2021-05-31,1041,2037,Rice,Clothing,East,Online,14,263.25,0.12,96.23,29,64,4,310,1,199,57,3243.24,1896.02
2021-06-01,1028,2060,Laptop,Furniture,South,Wholesale,4,139.05,0.1,194.74,66,57,0,172,1,462,53,500.58,-278.38
2021-06-02,1135,2048,Phone,Electronics,South,Online,20,112.83,0.19,265.25,50,68,1,233,0,426,96,1827.85,-3477.15
2021-06-03,1201,2077,Dumbbell,Electronics,North,Retail,34,303.56,0.25,123.63,39,46,1,37,0,93,92,7740.78,3537.36
2021-06-04,1328,2028,Chair,Food,North,Retail,12,53.58,0.28,24.65,35,28,1,265,0,423,34,462.93,167.13
2021-06-05,1268,2069,TV,Furniture,Central,Online,33,38.5,0.24,157.23,65,3,0,13,1,351,63,965.58,-4223.01
2021-06-06,1418,2077,Shirt,Electronics,East,Wholesale,24,192.4,0.13,107.06,50,37,1,316,0,107,29,4017.31,1447.87
2021-06-07,1033,2081,Shirt,Furniture,North,Wholesale,20,363.13,0.19,203.31,44,48,0,106,0,354,56,5882.71,1816.51
2021-06-08,1048,2040,Desk,Sports,South,Online,5,281.86,0.26,285.55,59,19,0,126,0,468,26,1042.88,-384.87
2021-06-09,1407,2045,Phone,Clothing,South,Online,38,217.21,0.15,148.25,36,17,3,336,0,94,51,7015.88,1382.38
2021-06-10,1062,2096,Shirt,Clothing,West,Online,30,287.22,0.07,142.53,65,40,3,130,1,355,30,8013.44,3737.54
2021-06-11,1216,2062,Desk,Clothing,North,Wholesale,24,189.07,0.05,198.1,31,50,1,316,0,90,67,4310.8,-443.6
2021-06-12,1293,2093,Laptop,Furniture,Central,Wholesale,43,468.71,0.0,35.53,42,29,2,256,1,43,87,20154.53,18626.74
2021-06-13,1099,2058,Chair,Furniture,East,Wholesale,40,36.9,0.22,79.78,51,51,3,115,0,455,67,1151.28,-2039.92
2021-06-14,1172,2067,Chair,Food,Central,Online,7,339.96,0.03,276.1,41,42,3,299,0,442,64,2308.33,375.63
2021-06-15,1360,2056,TV,Clothing,South,Wholesale,36,446.73,0.07,202.63,55,29,2,124,1,383,52,14956.52,7661.84
2021-06-16,1214,2040,Bread,Food,Central,Retail,38,403.9,0.09,8.97,40,66,4,256,0,22,23,13966.86,13626.0
2021-06-17,1475,2098,Shirt,Clothing,South,Online,16,100.18,0.17,65.36,22,17,1,139,0,189,66,1330.39,284.63
2021-06-18,1035,2040,Laptop,Food,South,Wholesale,15,155.0,0.12,206.44,61,31,4,206,1,22,72,2046.0,-1050.6
2021-06-19,1449,2091,Shoe,Food,South,Online,46,361.35,0.2,230.5,53,52,4,47,0,233,50,13297.68,2694.68
2021-06-20,1227,2077,Shirt,Sports,South,Retail,23,51.29,0.02,252.76,41,39,0,217,0,185,50,1156.08,-4657.4
2021-06-21,1101,2033,Phone,Food,South,Retail,12,407.81,0.04,91.19,53,60,0,319,0,310,46,4697.97,3603.69
2021-06-22,1431,2006,Bread,Furniture,West,Online,29,362.26,0.15,279.65,22,51,1,350,0,416,67,8929.71,819.86
2021-06-23,1462,2088,Shirt,Food,Central,Online,44,367.51,0.1,168.12,56,16,2,123,1,332,55,14553.4,7156.12
2021-06-24,1131,2019,Laptop,Clothing,West,Retail,48,59.12,0.09,210.48,23,14,0,31,1,62,68,2582.36,-7520.68
2021-06-25,1257,2080,Shirt,Food,West,Online,15,361.7,0.02,181.04,62,42,3,55,0,102,50,5316.99,2601.39
2021-06-26,1005,2040,Phone,Electronics,North,Retail,29,343.11,0.27,41.21,53,51,1,153,1,499,63,7263.64,6068.55
2021-06-27,1218,2092,Shoe,Clothing,North,Retail,45,417.15,0.21,289.12,62,24,4,286,1,315,78,14829.68,1819.28
2021-06-28,1255,2097,Dumbbell,Electronics,North,Wholesale,43,30.38,0.04,41.25,21,43,1,36,0,482,42,1254.09,-519.66
2021-06-29,1398,2059,Rice,Clothing,East,Online,49,21.32,0.02,80.19,27,19,0,306,0,188,87,1023.79,-2905.52
2021-06-30,1359,2059,Shoe,Furniture,North,Online,21,192.77,0.29,245.02,69,61,2,285,0,335,61,2874.2,-2271.22
2021-07-01,1283,2048,Desk,Furniture,Central,Wholesale,15,82.91,0.2,187.49,18,63,4,256,1,459,61,994.92,-1817.43
2021-07-02,1393,2041,Shirt,Furniture,West,Retail,14,283.61,0.13,252.25,38,26,2,178,1,188,32,3454.37,-77.13
2021-07-03,1207,2013,Chair,Electronics,Central,Online,42,459.5,0.21,157.14,57,35,1,36,0,350,20,15246.21,8646.33
2021-07-04,1015,2045,TV,Sports,North,Wholesale,44,201.83,0.23,116.21,56,67,2,254,1,68,95,6838.0,1724.76
2021-07-05,1346,2089,Chair,Clothing,East,Wholesale,16,424.03,0.23,276.94,54,56,2,162,0,113,72,5224.05,793.01
2021-07-06,1042,2053,Shoe,Furniture,East,Online,15,10.12,0.14,15.69,20,40,1,21,0,103,59,130.55,-104.8
2021-07-07,1380,2042,Chair,Clothing,West,Wholesale,42,92.57,0.13,257.56,64,29,4,294,1,107,65,3382.51,-7435.01
2021-07-08,1461,2063,Laptop,Electronics,Central,Retail,4,24.91,0.0,73.09,48,6,2,75,0,344,41,99.64,-192.72
2021-07-09,1179,2027,Chair,Sports,South,Wholesale,27,170.79,0.28,255.38,44,52,2,207,0,20,71,3320.16,-3575.1
2021-07-10,1063,2038,Bread,Electronics,Central,Retail,23,455.01,0.18,46.06,34,1,1,178,0,386,47,8581.49,7522.11
2021-07-11,1352,2060,Dumbbell,Clothing,North,Retail,29,57.51,0.06,176.16,40,52,3,37,0,431,72,1567.72,-3540.92
2021-07-12,1231,2007,Shirt,Sports,South,Online,41,307.14,0.28,266.99,30,24,2,120,0,265,82,9066.77,-1879.82
2021-07-13,1241,2005,Chair,Sports,East,Wholesale,9,231.23,0.27,144.69,64,34,0,118,0,342,36,1519.18,216.97
2021-07-14,1052,2045,Phone,Electronics,West,Retail,43,469.85,0.3,225.24,44,7,4,1,1,208,83,14142.48,4457.16
2021-07-15,1096,2058,Dumbbell,Furniture,West,Retail,43,70.03,0.26,242.38,68,11,2,209,1,169,25,2228.35,-8193.99
2021-07-16,1388,2031,Dumbbell,Clothing,East,Wholesale,7,113.89,0.3,222.27,37,36,1,311,0,482,33,558.06,-997.83
2021-07-17,1222,2023,Chair,Food,North,Retail,42,24.48,0.07,277.97,63,20,0,208,0,472,36,956.19,-10718.55
2021-07-18,1485,2042,Dumbbell,Food,East,Wholesale,4,222.63,0.25,136.82,30,63,1,154,0,193,57,667.89,120.61
2021-07-19,1407,2010,TV,Electronics,North,Online,5,146.14,0.25,56.07,61,63,2,250,0,346,88,548.02,267.67
2021-07-20,1231,2032,Chair,Clothing,South,Retail,5,436.25,0.07,19.1,41,69,0,171,0,429,32,2028.56,1933.06
2021-07-21,1237,2053,Laptop,Clothing,East,Retail,11,306.42,0.03,77.71,58,30,4,315,0,392,72,3269.5,2414.69
2021-07-22,1143,2030,Shoe,Electronics,North,Wholesale,41,310.9,0.29,47.24,20,30,4,307,0,122,28,9050.3,7113.46
2021-07-23,1171,2039,Bread,Clothing,South,Wholesale,28,270.64,0.09,169.59,60,22,4,107,0,176,63,6895.91,2147.39
2021-07-24,1029,2031,Rice,Furniture,East,Wholesale,16,55.01,0.26,59.56,27,61,3,143,0,3,45,651.32,-301.64
2021-07-25,1036,2082,Desk,Electronics,West,Wholesale,41,228.06,0.0,16.49,18,21,1,8,0,187,96,9350.46,8674.37
2021-07-26,1013,2002,Dumbbell,Furniture,East,Retail,30,499.76,0.01,15.62,66,37,2,94,0,345,38,14842.87,14374.27
